gene	SRX6979769	SRX6980254	SRX6980076	SRX6979700	SRX6979849	SRX6979661	SRX6980200	SRX6979959	SRX6980281	SRX6979679	SRX6980014	SRX6979524	SRX6980147	SRX6979775	SRX6980272	SRX6979578	SRX6980368	SRX6979685	SRX6979949	SRX6979870	SRX6979843	SRX6979613	SRX6979670	SRX6980266	SRX6979676	SRX6979897	SRX6979682	SRX6980120	SRX6979625	SRX6979987	SRX6979575	SRX6980166	SRX6980184	SRX6979584	SRX6980353	SRX6979822	SRX6980230	SRX6979721	SRX6980064	SRX6980011	SRX6979527	SRX6979545	SRX6980335	SRX6979563	SRX6979940	SRX6980129	SRX6979739	SRX6979873	SRX6979510	SRX6980338	SRX6980209	SRX6979637	SRX6979593	SRX6980296	SRX6979781	SRX6980058	SRX6980260	SRX6979542	SRX6980386	SRX6980123	SRX6979825	SRX6979894	SRX6980257	SRX6979581	SRX6980224	SRX6980169	SRX6980347	SRX6980086	SRX6979974	SRX6979757	SRX6980293	SRX6979891	SRX6980212	SRX6980005	SRX6980021	SRX6979706	SRX6980203	SRX6979986	SRX6979910	SRX6979819	SRX6980218	SRX6980181	SRX6979831	SRX6980144	SRX6979742	SRX6980112	SRX6979996	SRX6979852	SRX6980138	SRX6979587	SRX6979952	SRX6980365	SRX6979907	SRX6979533	SRX6979709	SRX6979999	SRX6979652	SRX6980008	SRX6979801	SRX6980082	SRX6979628	SRX6979748	SRX6979733	SRX6980150	SRX6980302	SRX6980095	SRX6980159	SRX6979924	SRX6979634	SRX6979608	SRX6980036	SRX6979727	SRX6979691	SRX6979816	SRX6979876	SRX6979504	SRX6980374	SRX6979885	SRX6980278	SRX6979646	SRX6980052	SRX6979569	SRX6980132	SRX6979760	SRX6980079	SRX6979977	SRX6980045	SRX6979596	SRX6980083	SRX6979834	SRX6980233	SRX6979649	SRX6980070	SRX6980290	SRX6979551	SRX6980311	SRX6979619	SRX6979968	SRX6980215	SRX6979730	SRX6979828	SRX6980002	SRX6980320	SRX6979938	SRX6980380	SRX6979548	SRX6979724	SRX6980197	SRX6980389	SRX6980236	SRX6979694	SRX6979888	SRX6980178	SRX6980308	SRX6979697	SRX6979655	SRX6980162	SRX6979864	SRX6980039	SRX6979712	SRX6979783	SRX6979943	SRX6980356	SRX6979813	SRX6979993	SRX6979667	SRX6979715	SRX6980332	SRX6979861	SRX6980017	SRX6979703	SRX6980098	SRX6980383	SRX6979930	SRX6980030	SRX6979766	SRX6980329	SRX6980104	SRX6980175	SRX6979554	SRX6979789	SRX6980024	SRX6979786	SRX6979631	SRX6979514	SRX6980239	SRX6980135	SRX6979855	SRX6979616	SRX6980172	SRX6979810	SRX6980305	SRX6979745	SRX6979980	SRX6980248	SRX6980042	SRX6980392	SRX6980073	SRX6979515	SRX6980323	SRX6980141	SRX6979530	SRX6980350	SRX6980341	SRX6979622	SRX6979927	SRX6979521	SRX6979804	SRX6979837	SRX6980092	SRX6980163	SRX6979658	SRX6980362	SRX6979602	SRX6979956	SRX6980242	SRX6980263	SRX6979946	SRX6980126	SRX6979688	SRX6979778	SRX6979560	SRX6980061	SRX6980317	SRX6979664	SRX6979536	SRX6979751	SRX6980110	SRX6980314	SRX6979798	SRX6980027	SRX6979539	SRX6980193	SRX6979921	SRX6980326	SRX6980048	SRX6979557	SRX6980299	SRX6979772	SRX6979933	SRX6979983	SRX6980269	SRX6980156	SRX6979795	SRX6980359	SRX6980190	SRX6979901	SRX6979858	SRX6979867	SRX6979566	SRX6979640	SRX6979846	SRX6979605	SRX6980067	SRX6979498	SRX6979879	SRX6979904	SRX6980227	SRX6980377	SRX6979572	SRX6980275	SRX6980371	SRX6979971	SRX6980287	SRX6979643	SRX6979792	SRX6980251	SRX6979965	SRX6979990	SRX6980033	SRX6980089	SRX6979807	SRX6979718	SRX6979610	SRX6980101	SRX6980245	SRX6979937	SRX6979590	SRX6979673	SRX6980117	SRX6979507	SRX6980187	SRX6980107	SRX6979518	SRX6979754	SRX6979599	SRX6980055	SRX6980153	SRX6979840	SRX6980284	SRX6979962	SRX6980344	SRX6979501	SRX6979882	SRX6979736	SRX6980206	SRX6980221	SRX6979763
Hsa-Mir-126-P2-v1_3p	3059.0	1486.0	1212.0	105674.0	109062.0	340.0	14097.0	40777.0	192.0	133.0	1378.0	39.0	16948.0	3287.0	465.0	31.0	72.0	294.0	18.0	31.0	82.0	113289.0	79.0	1478.0	19213.0	1340.0	125.0	10770.0	449.0	16581.0	141.0	11457.0	5.0	36.0	19.0	161.0	21.0	22.0	93799.0	100.0	14.0	9.0	0.0	133.0	23.0	20054.0	763.0	74.0	392.0	38.0	552.0	83.0	57.0	25.0	226.0	45420.0	874.0	26.0	6.0	9275.0	333.0	68.0	1574.0	24.0	795.0	22511.0	36.0	12809.0	341.0	34369.0	2.0	86.0	356.0	2468.0	39205.0	183.0	761.0	5.0	3992.0	57788.0	1518.0	795.0	50.0	13158.0	579.0	433.0	65247.0	254.0	57373.0	34.0	7.0	41.0	591.0	11.0	12517.0	35398.0	87.0	2.0	175.0	17.0	206.0	80.0	62593.0	3.0	39.0	89292.0	949.0	11.0	88.0	56.0	550.0	94.0	61584.0	164687.0	109018.0	5045.0	14.0	142401.0	95.0	22.0	21572.0	91.0	13070.0	75.0	16.0	89.0	1000.0	95.0	9037.0	174.0	2894.0	21.0	378.0	345.0	62.0	94.0	385.0	25960.0	350.0	14.0	177.0	38419.0	807.0	11.0	13.0	48.0	13.0	16977.0	20.0	158.0	28.0	46957.0	18169.0	55.0	261.0	24.0	1559.0	1659.0	216.0	220.0	9059.0	6624.0	39.0	95.0	52931.0	57.0	38.0	204.0	50.0	901.0	53.0	21990.0	11.0	3.0	17885.0	2819.0	0.0	73.0	20517.0	47.0	184.0	41454.0	2848.0	177.0	55.0	101.0	27272.0	1274.0	16460.0	17568.0	137.0	809.0	112868.0	38.0	26.0	807.0	44.0	650.0	37.0	0.0	24439.0	71.0	5.0	11.0	498.0	23.0	100.0	192.0	72.0	42160.0	5511.0	45468.0	56.0	33603.0	10068.0	75.0	455.0	165.0	15883.0	57.0	2756.0	55969.0	7113.0	1.0	544.0	62.0	71109.0	66.0	45.0	224.0	27764.0	18.0	783.0	5425.0	0.0	32.0	34.0	2.0	3582.0	1.0	765.0	123.0	313.0	221.0	32.0	87.0	3578.0	95.0	138.0	41565.0	189.0	31.0	65.0	877.0	40.0	140.0	1796.0	3186.0	21.0	80.0	440.0	722.0	302.0	468.0	60.0	99.0	30.0	34173.0	16740.0	35778.0	18259.0	252.0	76.0	180.0	707.0	34.0	7734.0	37.0	86.0	5058.0	15424.0	458.0	374.0	106447.0	29669.0	41.0	47113.0	1113.0	100879.0	411.0	22105.0	16.0	105.0	45.0	12270.0	527.0	251.0	191.0
2-63684550-63684575-RNAATLASMIR03554-5p	0.0	8.0	1.0	5.0	6.0	0.0	2.0	9.0	3.0	0.0	0.0	0.0	3.0	5.0	0.0	2.0	2.0	20.0	0.0	0.0	0.0	18.0	4.0	3.0	1.0	0.0	6.0	1.0	6.0	2.0	11.0	2.0	3.0	0.0	0.0	1.0	3.0	13.0	6.0	0.0	2.0	4.0	0.0	29.0	9.0	47.0	6.0	3.0	5.0	0.0	3.0	0.0	18.0	1.0	23.0	2.0	9.0	1.0	2.0	2.0	19.0	6.0	12.0	20.0	16.0	1.0	0.0	2.0	5.0	0.0	1.0	2.0	0.0	1.0	0.0	2.0	5.0	6.0	14.0	0.0	1.0	6.0	0.0	1.0	3.0	5.0	8.0	14.0	2.0	1.0	6.0	0.0	7.0	23.0	1.0	0.0	0.0	7.0	2.0	9.0	9.0	0.0	11.0	4.0	9.0	1.0	5.0	4.0	16.0	15.0	6.0	9.0	2.0	15.0	0.0	0.0	3.0	11.0	7.0	0.0	1.0	6.0	13.0	31.0	21.0	8.0	1.0	3.0	0.0	0.0	72.0	2.0	3.0	3.0	10.0	0.0	6.0	36.0	3.0	13.0	2.0	0.0	1.0	3.0	2.0	3.0	0.0	0.0	2.0	1.0	0.0	0.0	3.0	0.0	15.0	0.0	0.0	2.0	5.0	5.0	2.0	1.0	1.0	13.0	3.0	17.0	0.0	10.0	0.0	3.0	0.0	1.0	0.0	5.0	3.0	11.0	3.0	5.0	3.0	7.0	75.0	1.0	2.0	29.0	2.0	2.0	4.0	12.0	2.0	2.0	2.0	1.0	18.0	9.0	0.0	6.0	8.0	8.0	3.0	0.0	2.0	1.0	0.0	0.0	3.0	2.0	16.0	4.0	16.0	4.0	1.0	3.0	2.0	0.0	60.0	0.0	14.0	5.0	5.0	2.0	22.0	1.0	0.0	0.0	11.0	59.0	107.0	4.0	5.0	17.0	1.0	2.0	2.0	1.0	0.0	1.0	2.0	8.0	0.0	0.0	2.0	6.0	0.0	4.0	1.0	1.0	0.0	3.0	3.0	4.0	0.0	1.0	2.0	3.0	5.0	27.0	1.0	13.0	2.0	2.0	1.0	0.0	8.0	11.0	44.0	0.0	0.0	23.0	1.0	0.0	18.0	6.0	2.0	2.0	7.0	3.0	0.0	1.0	0.0	4.0	4.0	0.0	2.0	6.0	6.0	5.0	1.0	5.0	2.0	1.0	40.0	2.0	4.0	20.0	23.0	1.0	5.0	8.0
2-17753308-17753330-RNAATLASMIR03450-3p	27.0	230.0	54.0	245.0	37.0	115.0	35.0	0.0	12.0	100.0	5.0	85.0	65.0	219.0	7.0	97.0	26.0	29.0	76.0	92.0	114.0	182.0	12.0	135.0	91.0	9.0	56.0	2.0	105.0	3.0	175.0	43.0	120.0	147.0	28.0	132.0	42.0	107.0	2.0	50.0	39.0	45.0	20.0	23.0	143.0	3.0	139.0	251.0	42.0	0.0	123.0	95.0	237.0	80.0	140.0	3.0	207.0	49.0	14.0	3.0	70.0	206.0	120.0	143.0	31.0	14.0	0.0	37.0	41.0	346.0	118.0	89.0	9.0	100.0	10.0	57.0	9.0	108.0	91.0	205.0	135.0	64.0	113.0	2.0	109.0	81.0	2.0	174.0	6.0	69.0	39.0	6.0	110.0	43.0	95.0	6.0	161.0	7.0	84.0	22.0	143.0	219.0	119.0	64.0	18.0	6.0	38.0	0.0	182.0	70.0	42.0	212.0	179.0	227.0	574.0	69.0	33.0	202.0	10.0	71.0	5.0	88.0	0.0	94.0	152.0	80.0	6.0	100.0	1.0	80.0	13.0	33.0	60.0	101.0	67.0	15.0	351.0	1.0	12.0	134.0	38.0	11.0	15.0	109.0	34.0	78.0	29.0	30.0	50.0	57.0	143.0	325.0	58.0	64.0	163.0	30.0	56.0	32.0	31.0	43.0	132.0	68.0	54.0	224.0	1.0	95.0	77.0	116.0	64.0	23.0	169.0	9.0	56.0	0.0	0.0	257.0	6.0	51.0	40.0	48.0	53.0	4.0	50.0	110.0	23.0	45.0	1.0	71.0	87.0	21.0	105.0	41.0	169.0	77.0	15.0	1.0	33.0	53.0	48.0	82.0	1.0	89.0	34.0	6.0	73.0	0.0	137.0	252.0	152.0	16.0	1.0	157.0	23.0	22.0	2.0	15.0	149.0	35.0	5.0	58.0	167.0	170.0	0.0	10.0	131.0	87.0	326.0	38.0	29.0	68.0	6.0	51.0	19.0	112.0	14.0	6.0	130.0	241.0	86.0	0.0	58.0	84.0	57.0	178.0	28.0	72.0	20.0	27.0	112.0	135.0	63.0	116.0	121.0	88.0	35.0	137.0	9.0	58.0	27.0	75.0	14.0	40.0	15.0	34.0	64.0	276.0	9.0	1.0	0.0	1.0	1.0	122.0	74.0	95.0	59.0	16.0	41.0	92.0	61.0	43.0	46.0	36.0	76.0	71.0	320.0	112.0	1.0	36.0	313.0	14.0	0.0	65.0	28.0	62.0	111.0	84.0	276.0	185.0
9-32456348-32456370-RNAATLASMIR06278-3p	13.0	5.0	1.0	26.0	22.0	6.0	5.0	7.0	11.0	14.0	22.0	0.0	1.0	23.0	1.0	5.0	1.0	3.0	1.0	6.0	4.0	19.0	10.0	115.0	14.0	0.0	12.0	0.0	34.0	5.0	15.0	4.0	4.0	6.0	7.0	27.0	1.0	4.0	3.0	8.0	4.0	10.0	2.0	29.0	3.0	0.0	12.0	19.0	2.0	6.0	6.0	10.0	4.0	8.0	24.0	1.0	11.0	8.0	5.0	1.0	4.0	10.0	9.0	14.0	16.0	1.0	0.0	0.0	10.0	21.0	8.0	0.0	5.0	4.0	2.0	60.0	32.0	1.0	3.0	36.0	65.0	57.0	13.0	3.0	11.0	1.0	0.0	34.0	7.0	0.0	5.0	3.0	1.0	7.0	5.0	5.0	28.0	0.0	11.0	8.0	1.0	12.0	21.0	2.0	4.0	3.0	13.0	0.0	10.0	6.0	8.0	27.0	28.0	20.0	77.0	1.0	9.0	10.0	1.0	10.0	2.0	16.0	2.0	16.0	2.0	0.0	2.0	4.0	3.0	21.0	2.0	24.0	7.0	22.0	6.0	0.0	12.0	4.0	0.0	14.0	12.0	4.0	2.0	7.0	5.0	211.0	7.0	2.0	4.0	4.0	4.0	19.0	0.0	1.0	14.0	10.0	0.0	38.0	188.0	18.0	17.0	0.0	2.0	8.0	8.0	6.0	16.0	2.0	7.0	4.0	5.0	2.0	0.0	4.0	0.0	11.0	2.0	8.0	1.0	20.0	7.0	4.0	21.0	21.0	1.0	3.0	9.0	65.0	4.0	1.0	1.0	1.0	43.0	0.0	2.0	12.0	1.0	1.0	5.0	6.0	0.0	7.0	7.0	0.0	20.0	2.0	4.0	13.0	10.0	4.0	6.0	18.0	3.0	11.0	3.0	3.0	8.0	5.0	4.0	37.0	28.0	24.0	1.0	0.0	7.0	17.0	15.0	18.0	9.0	98.0	3.0	5.0	1.0	0.0	0.0	0.0	14.0	26.0	28.0	8.0	17.0	74.0	2.0	21.0	1.0	9.0	2.0	16.0	23.0	23.0	3.0	21.0	2.0	5.0	2.0	43.0	0.0	4.0	9.0	12.0	3.0	6.0	0.0	3.0	5.0	8.0	1.0	2.0	2.0	4.0	3.0	26.0	3.0	2.0	5.0	27.0	5.0	6.0	7.0	1.0	2.0	19.0	10.0	9.0	22.0	24.0	11.0	38.0	33.0	5.0	1.0	7.0	2.0	36.0	20.0	1.0	20.0	38.0
Hsa-Mir-21_5p	22183.0	1017727.0	437212.0	80257.0	34515.0	61894.0	50355.0	130153.0	1968473.0	96199.0	1160329.0	5736.0	160386.0	15245.0	239309.0	34824.0	15343.0	117655.0	56138.0	71879.0	82508.0	109894.0	157156.0	3045684.0	24670.0	773.0	188554.0	89259.0	46285.0	153395.0	74816.0	24815.0	290027.0	20132.0	35530.0	61953.0	974760.0	44698.0	84024.0	606051.0	3605.0	6538.0	6799.0	94582.0	40332.0	123597.0	27902.0	105559.0	12726.0	49310.0	456936.0	82971.0	51641.0	326564.0	29881.0	100489.0	554072.0	6659.0	9204.0	170467.0	92913.0	145190.0	1920623.0	31776.0	811299.0	45009.0	201.0	40996.0	1334023.0	29620.0	121602.0	11001.0	66507.0	166351.0	69891.0	121189.0	840344.0	40555.0	41933.0	29018.0	209353.0	954409.0	53747.0	98854.0	334890.0	211505.0	169758.0	26895.0	369065.0	419.0	113033.0	9731.0	21760.0	12064.0	9793.0	80069.0	22585.0	38410.0	54377.0	72405.0	20219.0	17029.0	29762.0	347414.0	43219.0	372417.0	376028.0	1614.0	15595.0	11839.0	1330991.0	104568.0	25020.0	105307.0	54159.0	1132.0	28340.0	60259.0	1568533.0	22641.0	140807.0	25891.0	228000.0	12211.0	571656.0	34882.0	16317.0	136849.0	58982.0	31800.0	32888.0	246059.0	751575.0	1377900.0	9003.0	4427.0	35441.0	203080.0	319594.0	24687.0	25482.0	62631.0	14216.0	36696.0	33131.0	14792.0	57708.0	22571.0	36952.0	49726.0	15146.0	12620.0	17180.0	22515.0	145443.0	28076.0	528353.0	235189.0	578831.0	92579.0	74104.0	44002.0	10306.0	33901.0	149622.0	39901.0	23926.0	23013.0	52800.0	1358756.0	24310.0	57452.0	14686.0	1455.0	64179.0	33148.0	4024.0	1083152.0	29004.0	16407.0	52380.0	75462.0	52378.0	109507.0	9025.0	168222.0	331469.0	337397.0	5016.0	19403.0	22366.0	22467.0	228099.0	48395.0	105539.0	3072661.0	34652.0	191647.0	19830.0	5595.0	136903.0	8308.0	1836.0	331.0	48545.0	8423.0	23959.0	71433.0	24263.0	101368.0	182297.0	15080.0	13869.0	33363.0	139766.0	1134921.0	2325927.0	671588.0	54926.0	60244.0	32206.0	17332.0	119549.0	4794.0	37160.0	126567.0	25048.0	193176.0	527379.0	122582.0	156141.0	12607.0	190955.0	21527.0	14498.0	570685.0	27558.0	46918.0	83140.0	328.0	846936.0	1637183.0	290603.0	72377.0	12441.0	75639.0	12709.0	81801.0	158614.0	17722.0	106632.0	17462.0	20403.0	1095261.0	68271.0	130534.0	143007.0	1633615.0	51222.0	107893.0	88777.0	122654.0	31525.0	332410.0	191951.0	73580.0	58833.0	125660.0	115063.0	65106.0	55262.0	130406.0	39758.0	77198.0	1594226.0	323027.0	37249.0	49480.0	217444.0	53347.0	6244.0	565389.0	937323.0	26837.0	11768.0	51017.0	147726.0	419406.0	105159.0	125727.0	156401.0	29851.0	5492.0	83525.0	108093.0	146182.0	789205.0	42150.0
9-130406768-130406787-RNAATLASMIR06489-3p	4126.0	8509.0	2269.0	8167.0	9379.0	4655.0	3538.0	3568.0	2620.0	942.0	3157.0	4305.0	1278.0	6594.0	1759.0	4447.0	2390.0	1082.0	1792.0	3892.0	4914.0	12901.0	4935.0	16925.0	1059.0	8177.0	1731.0	688.0	8531.0	706.0	7280.0	1351.0	3328.0	7474.0	9405.0	7170.0	7280.0	1967.0	2576.0	3379.0	15164.0	7431.0	2110.0	11760.0	1856.0	856.0	3032.0	6520.0	7908.0	1690.0	1187.0	3462.0	9558.0	3150.0	7300.0	2750.0	9752.0	7731.0	2201.0	388.0	11804.0	6055.0	10001.0	6035.0	7623.0	1225.0	5.0	4402.0	2124.0	7032.0	4330.0	181252.0	1535.0	4336.0	2035.0	17986.0	870.0	3216.0	3060.0	6361.0	9000.0	3328.0	6585.0	6018.0	6991.0	1517.0	2200.0	25439.0	2154.0	4755.0	8314.0	1301.0	2129.0	8312.0	1942.0	1784.0	2963.0	6364.0	6507.0	3041.0	11163.0	6746.0	4742.0	1537.0	4044.0	1367.0	5154.0	11951.0	10177.0	5314.0	3613.0	11766.0	3384.0	10360.0	5232.0	1766.0	1034.0	48645.0	2047.0	3183.0	26930.0	11708.0	978.0	5702.0	3926.0	924.0	2114.0	9403.0	1416.0	8369.0	10357.0	6790.0	2915.0	4384.0	5682.0	383.0	11743.0	1476.0	995.0	13932.0	8502.0	1522.0	1424.0	1861.0	2044.0	5714.0	3433.0	900.0	2094.0	1314.0	2978.0	8750.0	1185.0	703.0	6115.0	3821.0	2982.0	12320.0	6750.0	2241.0	8647.0	2262.0	2732.0	10888.0	1244.0	4091.0	1133.0	2250.0	20839.0	4966.0	3267.0	847.0	1116.0	14263.0	1020.0	8733.0	2400.0	1690.0	988.0	5747.0	16330.0	1681.0	8507.0	12450.0	789.0	839.0	1673.0	11634.0	58140.0	1909.0	28835.0	582.0	7215.0	3642.0	633.0	1720.0	1839.0	2204.0	4503.0	4782.0	1856.0	9865.0	1276.0	3726.0	11448.0	10152.0	6066.0	7229.0	8158.0	973.0	2287.0	2828.0	2220.0	4776.0	938.0	1857.0	10001.0	2805.0	684.0	1116.0	11694.0	3382.0	672.0	2546.0	3535.0	8263.0	9014.0	1226.0	4588.0	11127.0	1731.0	7067.0	735.0	837.0	2362.0	3168.0	4075.0	5455.0	3636.0	10227.0	3836.0	8086.0	1977.0	9592.0	1135.0	3299.0	777.0	17670.0	5237.0	6115.0	3183.0	3835.0	4905.0	1675.0	1721.0	5062.0	2299.0	9366.0	1711.0	6632.0	2528.0	1119.0	2256.0	2254.0	5363.0	6558.0	556.0	2501.0	1327.0	1092.0	944.0	4714.0	2662.0	4682.0	3267.0	1577.0	1018.0	7079.0	1552.0	689.0	2267.0	3344.0	2765.0	10675.0	11605.0	7597.0	1104.0	2677.0	3699.0	2803.0	1156.0	8376.0	1783.0	5006.0	4477.0	1107.0	10350.0	4825.0
