sample	count (>0)	mean	median	sum	p25	p75	min	max
SRX6980242	5	40643.87634279439	9.652675292583313	243863.25805676635	1.2870233723444415	302.77224834402995	0.0	243444.97546075442
SRX6980042	6	33938.70387378433	27.116026796858915	203632.22324270598	0.49663052741499836	98.77981190284318	0.06621740365533313	203463.6337329995
SRX6980281	6	30032.79990637217	9.32378175878883	180196.79943823302	1.028358282219356	184.00757529845015	0.274228875258495	179937.37892223848
SRX6980203	6	23476.34251497513	66.32877189895007	140858.0550898508	2.4674637717768317	140.9800063501644	0.8364283972124853	140577.51700542573
SRX6980278	6	21545.95841862523	4.321007925716195	129275.75051175136	0.6378630747485812	128.31335916555327	0.08230491287078466	129097.97189995047
SRX6980067	6	21454.09543189599	56.57081440751363	128724.57259137592	3.019064188587516	172.99530913634482	0.3517356336218465	128414.10727209905
SRX6980101	6	21408.178745074078	30.780759180502073	128449.07247044446	1.607350348851283	211.12546832161604	0.4018375872128208	128123.98586238928
SRX6980017	6	19748.14810055402	40.1141290384704	118488.88860332411	0.7597372923952729	342.94541378722613	0.260481357392665	117976.86908180927
SRX6980104	6	19496.744950937154	6.684727650718237	116980.46970562292	2.0215910234026926	138.6272351114673	0.5390909395740513	116783.48587630255
SRX6979974	6	19238.42803107181	16.49570722969711	115430.56818643086	1.5329780278907	144.9419929750742	0.4318247965889295	115212.84212399072
SRX6980036	6	18794.042929821837	24.99847982217298	112764.25757893102	1.3934963414386963	240.46257322189868	0.5067259423413442	112407.94478714133
SRX6980014	5	18350.355077151955	66.16197680644645	110102.13046291172	0.874283264942328	256.3540308475491	0.0	109670.94340835314
SRX6980263	6	17986.70811065626	13.948710407082029	107920.24866393754	2.2054666289343277	351.6968721679672	0.36950226243925904	107429.4110960698
SRX6980290	6	16643.34380232283	16.104656289442413	99860.06281393698	3.0151094174180306	243.6822263885698	0.21665456891626567	99509.44350324082
SRX6980107	6	15583.934869408431	22.368095341769582	93503.60921645058	2.634464562475084	215.4544650197784	0.19882751414906294	93182.80102237107
SRX6980269	6	15402.3010582289	5.812521091448815	92413.80634937341	4.296211241505646	342.30694862467044	0.33695774443181536	91943.58181701881
SRX6980266	6	15307.428884051398	24.1724640118018	91844.57330430839	3.5966468461453394	391.5324742742341	0.08991617115363347	91285.414607961
SRX6980181	6	13976.179966896598	37.569788396804846	83857.07980137959	5.139057202124063	235.7187131135969	0.5248398844722446	83485.31821654509
SRX6980227	6	13272.2859230545	78.46105651730818	79633.715538327	1.1730460052680165	378.32547658561487	0.1934921245802914	79022.90927405817
SRX6979983	6	12757.329883817627	36.98606115346357	76543.97930290576	2.4492592136862266	275.7775993538629	0.17976214412375974	76123.51564780029
SRX6980070	6	12210.697935090362	21.253211636861224	73264.18761054217	1.965194226696072	221.33909790306498	0.2911398854364551	72937.8197989679
SRX6980209	6	12128.033495277645	53.52853776846742	72768.20097166586	5.590758389151042	163.0836117345974	0.4758092246085993	72471.45461858498
SRX6980162	4	10825.481177861102	98.41346525328274	64952.88706716661	1.7062396452581527	320.0722763113731	0.0	64392.63109222006
SRX6980076	6	10679.314492823361	92.02524893702115	64075.88695694017	2.0716584476343622	291.4496331856132	0.14537954018486754	63561.6795233063
SRX6980215	5	9956.34833923541	33.68892207733711	59738.09003541246	0.9771648668840873	155.18308719325867	0.0	59484.957803229154
SRX6980048	5	9721.871982624456	1.931188108597416	58331.231895746736	0.228693328649694	242.31328688927576	0.0	58005.267671311376
SRX6980011	5	9641.19162539741	7.117161478619714	57847.14975238446	1.7555664980595291	242.86127352210005	0.0	57511.504417052754
SRX6980254	6	9586.966548983579	48.01107410677158	57521.79929390147	3.5532671396037245	377.89135922092686	0.2797848141420256	56948.91190846426
SRX6980245	6	9365.043022191485	5.278371810933222	56190.25813314891	3.2449007034425543	206.15935802538357	0.5191841125508087	55903.49544165002
SRX6980257	6	9128.039677899083	24.00650074499513	54768.2380673945	1.1053760673610507	223.7465389683327	0.2550867847756271	54436.1717595688
SRX6980248	5	8539.749815842424	9.889273900566003	51238.498895054545	2.5326189257547083	232.15673486084825	0.0	50912.39405813832
SRX6980230	6	8362.748779571912	1.6093557212595893	50176.49267743147	0.38317993363323555	279.491443592082	0.051090657817764736	49801.129614444355
SRX6979946	6	8348.553969065097	7.425304040211883	50091.32381439058	0.9281630050264855	159.27277166254484	0.37126520201059415	49867.45089757819
SRX6980224	6	7782.750581157233	23.525404303724933	46696.503486943395	1.1250042009650543	336.98860014730445	0.9113958083767528	46213.4067462657
SRX6980187	5	7704.183686028399	20.057409665933694	46225.1021161704	1.8879950394046898	212.95772003607738	0.0	45911.89794984851
SRX6980156	5	7659.2843121567785	29.021155638104617	45955.70587294067	2.4707200070278255	244.87580514098008	0.0	45587.21563189252
SRX6980153	6	7562.019817771175	61.68957399034642	45372.11890662705	3.9125446579455145	245.0432078921493	0.5359650216363719	44957.38917288483
SRX6980193	6	7167.617582886992	84.22634859341997	43005.70549732195	1.3963254077158482	172.25070229582704	0.22341206523453572	42661.650916860766
SRX6980150	6	6441.742396230572	3.765114859812039	38650.45437738343	0.3599006851290919	129.42582330603884	0.2214773446948258	38472.1651149041
SRX6980095	6	5893.130628962522	52.417488459371754	35358.78377377513	0.28633005349256235	5139.490839499866	0.07635468093134996	28435.78120841056
SRX6980159	6	5869.3756276928725	45.473083159810756	35216.253766157235	1.7737727473685045	378.0439552865523	0.4607201941216895	34648.73863103813
SRX6980239	6	5840.546172456198	15.11807214344027	35043.27703473719	2.795807862143063	135.54490709426926	0.4141937573545279	34838.2511248467
SRX6980287	6	5743.4984242135115	25.806159755550894	34460.99054528107	1.722124206794731	185.8351942556105	0.3084401564408474	34176.197467500686
SRX6980206	6	5716.6754985982925	70.84871191012068	34300.05299158976	5.04405723091694	223.09807154676307	0.2319106772835375	33901.166626662074
SRX6980184	6	5676.705228192768	7.253351802881519	34060.23136915661	0.4932279225959433	293.1514664652595	0.3481608865383129	33658.68581334909
SRX6980221	6	5584.362826495665	11.03462115528254	33506.17695897399	3.255946090410693	327.96066632863466	0.2093856006694979	33049.63259527422
SRX6980314	6	4954.725290280105	2.067359604631444	29728.351741680628	0.7822441747254114	192.89303229970005	0.27937291954478977	29467.08218732234
SRX6980251	5	4646.16689862711	9.147075117188104	27877.001391762657	1.4072423257212467	199.1247890895564	0.0	27597.42924971937
SRX6980079	6	4572.403086000629	4.121549988683606	27434.41851600377	0.8219275988993318	142.11009065027577	0.0952959534955747	27238.25179573313
SRX6980039	6	4538.101409116724	9.385634487244435	27228.60845470035	3.2640634788560474	237.7306873959711	0.23231768532783256	26894.535623198924
SRX6980163	6	3901.1932209372358	141.16719971187854	23407.159325623415	0.2770398598793953	579.3211292144689	0.12312882661306457	22446.015705081834
